onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
46.3671875	0	stim-thr	10	47480	n/a	n/a	0.05	0.10263	n/a	n/a
50.623046875	0	stim-thr	10	51838	n/a	n/a	0.07	1.1853	n/a	n/a
52.8876953125	0	stim-thr	10	54157	n/a	n/a	0.09	0.3258	n/a	n/a
57.3984375	0	stim-thr	10	58776	n/a	n/a	0.11	1.6768	n/a	n/a
59.2138671875	0	stim-thr	10	60635	n/a	n/a	0.13	0.33512	n/a	n/a
63.017578125	0	stim-thr	10	64530	n/a	n/a	0.15	1.0044	n/a	n/a
67.1533203125	0	stim-thr	10	68765	n/a	n/a	0.17	1.9987	n/a	n/a
69.0322265625	0	stim-thr	10	70689	n/a	n/a	0.19	0.71081	n/a	n/a
71.5556640625	0	stim-thr	10	73273	n/a	n/a	0.21	0.094155	n/a	n/a
75.0302734375	0	stim-thr	10	76831	n/a	n/a	0.23	0.42732	n/a	n/a
78.5595703125	0	stim-thr	10	80445	n/a	n/a	n/a	n/a	n/a	n/a
