participant_id	age	sex
sub-01	0	M
sub-02	0	M
sub-03	0	M
sub-04	0	M
sub-05	0	M
sub-06	0	M
sub-07	0	M
sub-08	0	M
sub-09	0	M
sub-10	0	M
sub-11	0	M
sub-12	0	M
sub-13	0	M
sub-14	0	M
sub-15	0	M
sub-16	0	M
sub-17	0	M
sub-18	0	M
sub-19	0	M
sub-20	0	M
