onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
33.775390625	0	stim-thr	10	34586	n/a	n/a	2.5	1.9238	n/a	n/a
35.001953125	0	stim-thr	10	35842	n/a	n/a	2.48	0.0092684	n/a	n/a
39.693359375	0	stim-thr	10	40646	n/a	n/a	2.46	1.5498	n/a	n/a
42.9365234375	0	stim-thr	10	43967	n/a	n/a	2.44	1.6346	n/a	n/a
46.2041015625	0	stim-thr	10	47313	n/a	n/a	2.42	1.7374	n/a	n/a
47.7783203125	0	stim-thr	10	48925	n/a	n/a	2.4	0.16887	n/a	n/a
51.564453125	0	stim-thr	10	52802	n/a	n/a	2.38	0.79957	n/a	n/a
54.455078125	0	stim-thr	10	55762	n/a	n/a	2.36	0.51974	n/a	n/a
58.6943359375	0	stim-thr	10	60103	n/a	n/a	2.34	1.6001	n/a	n/a
61.12109375	0	stim-thr	10	62588	n/a	n/a	2.32	0.86283	n/a	n/a
65.2421875	0	stim-thr	10	66808	n/a	n/a	2.3	1.8213	n/a	n/a
66.9404296875	0	stim-thr	10	68547	n/a	n/a	2.28	0.36369	n/a	n/a
70.2705078125	0	stim-thr	10	71957	n/a	n/a	2.26	0.52761	n/a	n/a
73.18359375	0	stim-thr	10	74940	n/a	n/a	2.24	0.29108	n/a	n/a
76.314453125	0	stim-thr	10	78146	n/a	n/a	2.22	0.27214	n/a	n/a
80.9404296875	0	stim-thr	10	82883	n/a	n/a	2.2	1.7386	n/a	n/a
83.5185546875	0	stim-thr	10	85523	n/a	n/a	2.18	1.1594	n/a	n/a
86.6083984375	0	stim-thr	10	88687	n/a	n/a	2.16	1.0997	n/a	n/a
88.96484375	0	stim-thr	10	91100	n/a	n/a	2.14	0.28991	n/a	n/a
93.517578125	0	stim-thr	10	95762	n/a	n/a	2.12	1.7061	n/a	n/a
96.2216796875	0	stim-thr	10	98531	n/a	n/a	2.1	1.2441	n/a	n/a
98.8447265625	0	stim-thr	10	101217	n/a	n/a	2.08	0.7019	n/a	n/a
102.3046875	0	stim-thr	10	104760	n/a	n/a	2.06	1.0265	n/a	n/a
105.21484375	0	stim-thr	10	107740	n/a	n/a	2.04	0.80362	n/a	n/a
107.7099609375	0	stim-thr	10	110295	n/a	n/a	2.02	0.15193	n/a	n/a
111.1728515625	0	stim-thr	10	113841	n/a	n/a	2	0.47983	n/a	n/a
114.09765625	0	stim-thr	10	116836	n/a	n/a	1.98	0.24664	n/a	n/a
117.3603515625	0	stim-thr	10	120177	n/a	n/a	1.96	0.36782	n/a	n/a
120.6376953125	0	stim-thr	10	123533	n/a	n/a	1.94	0.47991	n/a	n/a
124.15234375	0	stim-thr	10	127132	n/a	n/a	1.92	0.83453	n/a	n/a
126.556640625	0	stim-thr	10	129594	n/a	n/a	1.9	0.099309	n/a	n/a
131.421875	0	stim-thr	10	134576	n/a	n/a	1.88	1.8054	n/a	n/a
134.6708984375	0	stim-thr	10	137903	n/a	n/a	1.86	1.8896	n/a	n/a
136.9326171875	0	stim-thr	10	140219	n/a	n/a	1.84	0.98173	n/a	n/a
140.0712890625	0	stim-thr	10	143433	n/a	n/a	1.82	0.97851	n/a	n/a
142.94140625	0	stim-thr	10	146372	n/a	n/a	1.8	0.67544	n/a	n/a
147.2275390625	0	stim-thr	10	150761	n/a	n/a	1.78	1.8001	n/a	n/a
149.314453125	0	stim-thr	10	152898	n/a	n/a	1.76	0.73849	n/a	n/a
151.9462890625	0	stim-thr	10	155593	n/a	n/a	1.74	0.22241	n/a	n/a
156.4365234375	0	stim-thr	10	160191	n/a	n/a	1.72	1.5605	n/a	n/a
158.7880859375	0	stim-thr	10	162599	n/a	n/a	1.7	0.77948	n/a	n/a
161.6259765625	0	stim-thr	10	165505	n/a	n/a	1.68	0.48338	n/a	n/a
165.1005859375	0	stim-thr	10	169063	n/a	n/a	1.66	0.80782	n/a	n/a
167.6337890625	0	stim-thr	10	171657	n/a	n/a	1.64	0.19291	n/a	n/a
170.837890625	0	stim-thr	10	174938	n/a	n/a	1.62	0.26395	n/a	n/a
175.5908203125	0	stim-thr	10	179805	n/a	n/a	1.6	1.8841	n/a	n/a
178.794921875	0	stim-thr	10	183086	n/a	n/a	1.58	1.9123	n/a	n/a
181.1748046875	0	stim-thr	10	185523	n/a	n/a	1.56	1.1504	n/a	n/a
183.2783203125	0	stim-thr	10	187677	n/a	n/a	1.54	0.11956	n/a	n/a
186.779296875	0	stim-thr	10	191262	n/a	n/a	1.52	0.46956	n/a	n/a
190.166015625	0	stim-thr	10	194730	n/a	n/a	1.5	0.70632	n/a	n/a
194.275390625	0	stim-thr	10	198938	n/a	n/a	1.48	1.6424	n/a	n/a
195.822265625	0	stim-thr	10	200522	n/a	n/a	1.46	0.030807	n/a	n/a
199.03125	0	stim-thr	10	203808	n/a	n/a	1.44	0.086048	n/a	n/a
202.4462890625	0	stim-thr	10	207305	n/a	n/a	1.42	0.33798	n/a	n/a
206.5546875	0	stim-thr	10	211512	n/a	n/a	1.4	1.2982	n/a	n/a
209.8720703125	0	stim-thr	10	214909	n/a	n/a	1.38	1.4634	n/a	n/a
212.837890625	0	stim-thr	10	217946	n/a	n/a	1.36	1.2955	n/a	n/a
215.6083984375	0	stim-thr	10	220783	n/a	n/a	1.34	0.90185	n/a	n/a
218.93359375	0	stim-thr	10	224188	n/a	n/a	1.32	1.094	n/a	n/a
221.5859375	0	stim-thr	10	226904	n/a	n/a	1.3	0.59264	n/a	n/a
225.646484375	0	stim-thr	10	231062	n/a	n/a	1.28	1.4894	n/a	n/a
227.66796875	0	stim-thr	10	233132	n/a	n/a	1.26	0.37791	n/a	n/a
231.8154296875	0	stim-thr	10	237379	n/a	n/a	1.24	1.3736	n/a	n/a
233.95703125	0	stim-thr	10	239572	n/a	n/a	1.22	0.36702	n/a	n/a
237.4765625	0	stim-thr	10	243176	n/a	n/a	1.2	0.73697	n/a	n/a
241.140625	0	stim-thr	10	246928	n/a	n/a	1.18	1.2512	n/a	n/a
244.5849609375	0	stim-thr	10	250455	n/a	n/a	1.16	1.5605	n/a	n/a
246.318359375	0	stim-thr	10	252230	n/a	n/a	1.14	0.16225	n/a	n/a
251.1513671875	0	stim-thr	10	257179	n/a	n/a	n/a	n/a	n/a	n/a
