onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
23.2900390625	0	stim-thr	10	23849	n/a	n/a	0.1	1.5514	n/a	n/a
25.865234375	0	stim-thr	10	26486	n/a	n/a	0.12	0.97358	n/a	n/a
28.9150390625	0	stim-thr	10	29609	n/a	n/a	0.14	0.87172	n/a	n/a
32.076171875	0	stim-thr	10	32846	n/a	n/a	0.16	0.89357	n/a	n/a
34.9560546875	0	stim-thr	10	35795	n/a	n/a	0.18	0.6127	n/a	n/a
38.4931640625	0	stim-thr	10	39417	n/a	n/a	0.2	1.017	n/a	n/a
41.65625	0	stim-thr	10	42656	n/a	n/a	0.22	1.0215	n/a	n/a
45.4345703125	0	stim-thr	10	46525	n/a	n/a	0.24	1.6353	n/a	n/a
48.5322265625	0	stim-thr	10	49697	n/a	n/a	0.26	1.5897	n/a	n/a
51.3837890625	0	stim-thr	10	52617	n/a	n/a	0.28	1.2886	n/a	n/a
53.984375	0	stim-thr	10	55280	n/a	n/a	0.3	0.75722	n/a	n/a
58.0087890625	0	stim-thr	10	59401	n/a	n/a	0.32	1.6232	n/a	n/a
60.5908203125	0	stim-thr	10	62045	n/a	n/a	0.34	1.0657	n/a	n/a
63.359375	0	stim-thr	10	64880	n/a	n/a	0.36	0.70145	n/a	n/a
67.6748046875	0	stim-thr	10	69299	n/a	n/a	0.38	1.878	n/a	n/a
70.703125	0	stim-thr	10	72400	n/a	n/a	0.4	1.7519	n/a	n/a
73.19140625	0	stim-thr	10	74948	n/a	n/a	0.42	1.1003	n/a	n/a
76.470703125	0	stim-thr	10	78306	n/a	n/a	0.44	1.245	n/a	n/a
79.533203125	0	stim-thr	10	81442	n/a	n/a	0.46	1.1741	n/a	n/a
81.931640625	0	stim-thr	10	83898	n/a	n/a	0.48	0.41548	n/a	n/a
85.2607421875	0	stim-thr	10	87307	n/a	n/a	0.5	0.60249	n/a	n/a
88.732421875	0	stim-thr	10	90862	n/a	n/a	0.52	0.94185	n/a	n/a
91.3857421875	0	stim-thr	10	93579	n/a	n/a	0.54	0.46098	n/a	n/a
95.7705078125	0	stim-thr	10	98069	n/a	n/a	0.56	1.6886	n/a	n/a
97.615234375	0	stim-thr	10	99958	n/a	n/a	0.58	0.38953	n/a	n/a
100.8486328125	0	stim-thr	10	103269	n/a	n/a	0.6	0.45184	n/a	n/a
103.865234375	0	stim-thr	10	106358	n/a	n/a	0.62	0.34142	n/a	n/a
107.1337890625	0	stim-thr	10	109705	n/a	n/a	0.64	0.45533	n/a	n/a
110.7138671875	0	stim-thr	10	113371	n/a	n/a	0.66	0.8714	n/a	n/a
113.59765625	0	stim-thr	10	116324	n/a	n/a	0.68	0.6222	n/a	n/a
117.974609375	0	stim-thr	10	120806	n/a	n/a	0.7	1.8468	n/a	n/a
120.138671875	0	stim-thr	10	123022	n/a	n/a	0.72	0.86041	n/a	n/a
122.7939453125	0	stim-thr	10	125741	n/a	n/a	0.74	0.36963	n/a	n/a
127.3681640625	0	stim-thr	10	130425	n/a	n/a	0.76	1.8098	n/a	n/a
130.671875	0	stim-thr	10	133808	n/a	n/a	0.78	1.9595	n/a	n/a
132.736328125	0	stim-thr	10	135922	n/a	n/a	0.8	0.87774	n/a	n/a
135.212890625	0	stim-thr	10	138458	n/a	n/a	0.82	0.22224	n/a	n/a
138.640625	0	stim-thr	10	141968	n/a	n/a	0.84	0.51613	n/a	n/a
142.0751953125	0	stim-thr	10	145485	n/a	n/a	0.86	0.81744	n/a	n/a
145.59765625	0	stim-thr	10	149092	n/a	n/a	0.88	1.1898	n/a	n/a
148.064453125	0	stim-thr	10	151618	n/a	n/a	0.9	0.52442	n/a	n/a
151.87890625	0	stim-thr	10	155524	n/a	n/a	0.92	1.2057	n/a	n/a
155.23828125	0	stim-thr	10	158964	n/a	n/a	0.94	1.4224	n/a	n/a
157.4033203125	0	stim-thr	10	161181	n/a	n/a	0.96	0.44349	n/a	n/a
160.3251953125	0	stim-thr	10	164173	n/a	n/a	0.98	0.23484	n/a	n/a
163.81640625	0	stim-thr	10	167748	n/a	n/a	1	0.59335	n/a	n/a
167.0185546875	0	stim-thr	10	171027	n/a	n/a	1.02	0.63756	n/a	n/a
170.373046875	0	stim-thr	10	174462	n/a	n/a	1.04	0.84833	n/a	n/a
173.70703125	0	stim-thr	10	177876	n/a	n/a	1.06	1.0157	n/a	n/a
175.994140625	0	stim-thr	10	180218	n/a	n/a	1.08	0.17103	n/a	n/a
179.501953125	0	stim-thr	10	183810	n/a	n/a	1.1	0.52496	n/a	n/a
183.7255859375	0	stim-thr	10	188135	n/a	n/a	1.12	1.602	n/a	n/a
185.333984375	0	stim-thr	10	189782	n/a	n/a	1.14	0.058441	n/a	n/a
190.271484375	0	stim-thr	10	194838	n/a	n/a	1.16	1.8577	n/a	n/a
193.03515625	0	stim-thr	10	197668	n/a	n/a	1.18	1.4607	n/a	n/a
195.724609375	0	stim-thr	10	200422	n/a	n/a	1.2	0.97722	n/a	n/a
199.0498046875	0	stim-thr	10	203827	n/a	n/a	1.22	1.1571	n/a	n/a
201.5341796875	0	stim-thr	10	206371	n/a	n/a	n/a	n/a	n/a	n/a
