onset	stimamp	stimonset	resp	sdt	conf
1322886	0.25	0.980714586936036	0	miss	2
1341775	0.255	1.70599631068163	0	miss	2
1360206	0.26	1.74785481172347	0	miss	3
1372875	0.265	0.540588664585395	0	miss	3
1387964	0.27	0.416922717502628	0	miss	2
1403370	0.275	1.1299591414764	0	miss	2
1416131	0.28	1.28062365032552	1	hit	3
1426663	0.275	0.834057903285772	0	miss	2
1438745	0.28	0.411951031064487	0	miss	3
1453724	0.285	1.89586624258634	0	crej	3
1463358	0.285	0.164142414195452	0	miss	2
1476098	0.29	0.211418853163443	0	miss	2
1489408	0.295	0.284082243807996	1	hit	2
1504716	0.29	0.332920881752842	0	miss	2
1516950	0.295	1.24191728787062	0	miss	2
1527193	0.3	1.1474195296824	0	miss	1
1540256	0.305	0.104155780571739	0	miss	3
1554902	0.31	1.8624027692165	0	miss	2
1567851	0.315	1.45732336335654	1	hit	2
1577719	0.31	1.47568330759518	1	hit	1
1586009	0.305	0.126809001385636	0	crej	3
1602407	0.305	1.72088112607646	0	crej	2
1614536	0.305	1.86881023792243	1	hit	3
1624346	0.3	1.96879662448194	1	hit	3
1635027	0.295	1.71787763336773	0	miss	2
1644386	0.3	1.57111797853006	0	miss	2
1654384	0.305	1.02675483717515	0	miss	2
1663574	0.31	0.35520492101173	0	miss	2
1675639	0.315	0.797178993471686	0	miss	2
1685532	0.32	0.267862501975942	0	crej	2
1696278	0.32	0.0617790974899031	0	crej	2
1710786	0.32	1.8782834121391	0	miss	1
1721119	0.325	0.602612129172784	1	hit	3
1731336	0.32	0.591067668950713	0	crej	3
1743863	0.32	0.665872563672351	1	hit	2
1756892	0.315	0.934136374057705	0	crej	2
1768630	0.315	1.29639681293231	1	hit	2
1780189	0.31	0.0504563629860726	1	fa	1
1795489	0.31	1.68441322483867	0	miss	2
1807157	0.315	1.11806508997739	1	hit	2
1820686	0.31	1.70819989854689	0	miss	2
1829474	0.315	0.695758388654522	0	miss	1
1840884	0.32	0.892053296110206	0	miss	2
1851394	0.325	0.108478968882259	0	miss	2
1861499	0.33	0.354215067578218	0	crej	2
1873225	0.33	1.32561612392195	1	hit	3
1881396	0.325	0.661657990406609	1	hit	2
1894829	0.32	1.7969722756686	1	hit	3
1901336	0.315	0.236310396893421	1	hit	1
1916974	0.31	1.97683585756996	0	crej	1
2039729	0.31	0.179783301552183	1	hit	3
2049585	0.305	0.161724846260627	0	miss	2
2064599	0.31	1.55448107309789	1	hit	3
2074358	0.305	1.81026948844714	1	hit	3
2081932	0.3	1.067543903534	1	hit	2
2091190	0.295	0.218308424084917	0	crej	3
2104699	0.295	1.6516177157112	0	miss	2
2113200	0.3	0.676195437604344	0	miss	2
2123507	0.305	0.587946106052968	0	crej	2
2136762	0.305	1.49262685540736	0	crej	1
2144517	0.305	0.0206732366867928	0	miss	2
2156242	0.31	0.0968946785064442	0	miss	3
2169371	0.315	1.33583224314725	0	miss	3
2179140	0.32	1.20693596766154	0	miss	2
2189518	0.325	1.05220493159112	1	hit	2
2200121	0.32	1.45941889644646	0	crej	3
2212656	0.32	1.41450697063084	1	hit	2
2222045	0.315	1.56275410359855	0	miss	2
2231948	0.32	0.575953951228342	0	miss	3
2244382	0.325	1.38506397277304	0	miss	3
2255200	0.33	1.11333966992803	0	crej	2
2264656	0.33	0.793041585163185	1	hit	3
2272941	0.325	0.123181334107929	0	miss	2
2287047	0.33	1.56035106298235	1	hit	2
2294424	0.325	0.67516772810409	0	miss	2
2305559	0.33	1.21573181452589	0	crej	1
2318858	0.33	1.48250809900444	1	hit	3
2325520	0.325	0.209626483946999	0	miss	2
2337360	0.33	0.25577675956599	1	hit	3
2349361	0.325	1.0990802140304	0	crej	2
2360290	0.325	0.970458817169919	0	miss	2
2374666	0.33	1.78095135836888	0	miss	1
2384700	0.335	1.59792055762576	1	hit	3
2393703	0.33	1.46868216739194	0	crej	3
2400980	0.33	0.102663772224742	0	miss	2
2413093	0.335	0.145770598197952	0	crej	1
2426036	0.335	0.177054919349441	1	hit	3
2439308	0.33	1.5967017282279	0	miss	2
2455638	0.335	1.88601627914141	1	hit	3
2464329	0.33	1.36743114481672	1	hit	3
2471713	0.325	0.264165911427126	0	miss	3
2484455	0.33	1.44544907931353	1	hit	3
2492192	0.325	0.220706961284697	0	miss	3
2502035	0.33	0.234985704303666	0	miss	2
2515419	0.335	1.28143584593185	1	hit	3
2523514	0.33	0.657628429513605	0	crej	3
2534038	0.33	1.30762404519155	0	miss	1
2547250	0.335	1.49826292620704	1	hit	2
2557364	0.33	1.16637146290975	1	hit	1
2569312	0.325	1.48006465597556	1	hit	3
2715605	0.32	0.859128918503706	0	miss	2
2727094	0.325	0.903478469809471	1	hit	3
2736602	0.32	1.21971433858043	1	hit	1
2745220	0.315	0.118806593716554	0	miss	2
2757506	0.32	0.631622876677732	0	miss	2
2770867	0.325	1.54544426172587	1	hit	3
2780001	0.32	1.39286597801219	1	hit	2
2786435	0.315	0.25066436221836	0	miss	1
2796732	0.32	0.260302900778847	0	crej	2
2807107	0.32	0.184704677438403	0	miss	2
2818744	0.325	0.0156405871386698	1	hit	2
2830109	0.32	0.846218770328333	0	miss	2
2841434	0.325	1.31114634987583	1	hit	3
2850560	0.32	1.44584504938405	0	crej	2
2860270	0.32	1.06241858716488	1	hit	3
2867434	0.315	0.217635876546091	0	miss	2
2880283	0.32	1.26353274705698	1	hit	3
2887066	0.315	0.252999730658606	1	hit	1
2899965	0.31	0.268606608627149	0	miss	2
2910268	0.315	0.197188185421995	0	crej	1
2920310	0.315	0.284054496863857	0	crej	2
2931572	0.315	0.336502596983056	1	hit	1
2943534	0.31	0.392497844513911	0	crej	2
2955965	0.31	0.634959550298871	1	hit	3
2964904	0.305	0.632857998292582	1	hit	1
2976821	0.3	0.435126618845641	1	hit	3
2985995	0.295	0.502083692031472	1	hit	2
2999239	0.29	1.78584481057195	1	hit	3
3007647	0.285	1.40644644911258	1	hit	2
3016418	0.28	1.11147588543877	0	crej	2
3025499	0.28	0.368867335515306	1	hit	2
3035098	0.275	0.424061685064641	0	miss	2
3045452	0.28	0.154693616225354	0	miss	2
3057825	0.285	1.82760082155914	0	miss	2
3067307	0.29	1.41343043539386	1	hit	3
3075561	0.285	1.11557793350975	1	hit	3
3084045	0.28	0.626857979873183	0	miss	1
3092370	0.285	0.332407125804301	0	crej	3
3104740	0.285	1.24499451855979	1	hit	3
3116042	0.28	1.97586946990499	1	hit	2
3122057	0.275	0.340864046113767	0	crej	2
3132821	0.275	0.515584501144026	0	miss	2
3144895	0.28	0.793598637266287	0	miss	1
3154432	0.285	0.147989539153876	0	crej	2
3165913	0.285	1.36819213392402	1	hit	3
3173961	0.28	0.804776665392324	1	hit	2
3185614	0.275	1.9656704027879	0	miss	2
3193025	0.28	0.804367970444969	0	crej	1
3204648	0.28	1.24134389439916	1	hit	1
3214899	0.275	0.308739610958545	0	miss	3
