onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
7.7021484375	0	stim-thr	10	7887	n/a	n/a	2.5	0.13761	n/a	n/a
11.3779296875	0	stim-thr	10	11651	n/a	n/a	2.48	0.6392	n/a	n/a
14.9677734375	0	stim-thr	10	15327	n/a	n/a	2.46	1.0617	n/a	n/a
18.3798828125	0	stim-thr	10	18821	n/a	n/a	2.44	1.3089	n/a	n/a
21.052734375	0	stim-thr	10	21558	n/a	n/a	2.42	0.81524	n/a	n/a
25.01953125	0	stim-thr	10	25620	n/a	n/a	2.4	1.64	n/a	n/a
27.94921875	0	stim-thr	10	28620	n/a	n/a	2.38	1.4367	n/a	n/a
31.6064453125	0	stim-thr	10	32365	n/a	n/a	2.36	1.9373	n/a	n/a
33.875	0	stim-thr	10	34688	n/a	n/a	2.34	1.0627	n/a	n/a
36.6162109375	0	stim-thr	10	37495	n/a	n/a	2.32	0.65029	n/a	n/a
39.3251953125	0	stim-thr	10	40269	n/a	n/a	2.3	0.21126	n/a	n/a
43.5078125	0	stim-thr	10	44552	n/a	n/a	2.28	1.2219	n/a	n/a
47.00390625	0	stim-thr	10	48132	n/a	n/a	2.26	1.5576	n/a	n/a
49.42578125	0	stim-thr	10	50612	n/a	n/a	2.24	0.84691	n/a	n/a
51.9130859375	0	stim-thr	10	53159	n/a	n/a	2.22	0.18165	n/a	n/a
55.3955078125	0	stim-thr	10	56725	n/a	n/a	2.2	0.53294	n/a	n/a
58.302734375	0	stim-thr	10	59702	n/a	n/a	2.18	0.30731	n/a	n/a
61.6904296875	0	stim-thr	10	63171	n/a	n/a	2.16	0.56201	n/a	n/a
65.16015625	0	stim-thr	10	66724	n/a	n/a	2.14	0.88017	n/a	n/a
68.4658203125	0	stim-thr	10	70109	n/a	n/a	2.12	1.0543	n/a	n/a
71.478515625	0	stim-thr	10	73194	n/a	n/a	2.1	0.91485	n/a	n/a
75.47265625	0	stim-thr	10	77284	n/a	n/a	2.08	1.7507	n/a	n/a
77.9169921875	0	stim-thr	10	79787	n/a	n/a	2.06	1.0361	n/a	n/a
81.92578125	0	stim-thr	10	83892	n/a	n/a	2.04	1.8872	n/a	n/a
84.4736328125	0	stim-thr	10	86501	n/a	n/a	2.02	1.2754	n/a	n/a
88.2607421875	0	stim-thr	10	90379	n/a	n/a	2	1.9154	n/a	n/a
89.99609375	0	stim-thr	10	92156	n/a	n/a	1.98	0.48141	n/a	n/a
94.0234375	0	stim-thr	10	96280	n/a	n/a	1.96	1.3522	n/a	n/a
96.4091796875	0	stim-thr	10	98723	n/a	n/a	1.94	0.57813	n/a	n/a
100.3310546875	0	stim-thr	10	102739	n/a	n/a	1.92	1.3436	n/a	n/a
103.54296875	0	stim-thr	10	106028	n/a	n/a	1.9	1.3903	n/a	n/a
105.4501953125	0	stim-thr	10	107981	n/a	n/a	1.88	0.13599	n/a	n/a
108.9541015625	0	stim-thr	10	111569	n/a	n/a	1.86	0.50958	n/a	n/a
112.052734375	0	stim-thr	10	114742	n/a	n/a	1.84	0.44808	n/a	n/a
116.08984375	0	stim-thr	10	118876	n/a	n/a	1.82	1.3357	n/a	n/a
119.5830078125	0	stim-thr	10	122453	n/a	n/a	1.8	1.6888	n/a	n/a
121.71875	0	stim-thr	10	124640	n/a	n/a	1.78	0.68892	n/a	n/a
125.7490234375	0	stim-thr	10	128767	n/a	n/a	1.76	1.561	n/a	n/a
128.6884765625	0	stim-thr	10	131777	n/a	n/a	1.74	1.3507	n/a	n/a
130.51171875	0	stim-thr	10	133644	n/a	n/a	1.72	0.013431	n/a	n/a
134.8515625	0	stim-thr	10	138088	n/a	n/a	1.7	1.2043	n/a	n/a
137.591796875	0	stim-thr	10	140894	n/a	n/a	1.68	0.77354	n/a	n/a
141.8115234375	0	stim-thr	10	145215	n/a	n/a	1.66	1.832	n/a	n/a
143.130859375	0	stim-thr	10	146566	n/a	n/a	1.64	0.0023021	n/a	n/a
147.2109375	0	stim-thr	10	150744	n/a	n/a	n/a	n/a	n/a	n/a
