onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
32.6240234375	0	stim-thr	10	33407	n/a	n/a	0.1	0.6222	n/a	n/a
37.021484375	0	stim-thr	10	37910	n/a	n/a	0.12	1.8468	n/a	n/a
39.201171875	0	stim-thr	10	40142	n/a	n/a	0.14	0.86041	n/a	n/a
41.8603515625	0	stim-thr	10	42865	n/a	n/a	0.16	0.36963	n/a	n/a
46.46484375	0	stim-thr	10	47580	n/a	n/a	0.18	1.8098	n/a	n/a
49.7421875	0	stim-thr	10	50936	n/a	n/a	0.2	1.9595	n/a	n/a
51.818359375	0	stim-thr	10	53062	n/a	n/a	0.22	0.87774	n/a	n/a
54.3232421875	0	stim-thr	10	55627	n/a	n/a	0.24	0.22224	n/a	n/a
57.7666015625	0	stim-thr	10	59153	n/a	n/a	0.26	0.51613	n/a	n/a
61.201171875	0	stim-thr	10	62670	n/a	n/a	0.28	0.81744	n/a	n/a
64.7216796875	0	stim-thr	10	66275	n/a	n/a	0.3	1.1898	n/a	n/a
67.2138671875	0	stim-thr	10	68827	n/a	n/a	0.32	0.52442	n/a	n/a
71.0439453125	0	stim-thr	10	72749	n/a	n/a	0.34	1.2057	n/a	n/a
74.4248046875	0	stim-thr	10	76211	n/a	n/a	0.36	1.4224	n/a	n/a
76.5751953125	0	stim-thr	10	78413	n/a	n/a	0.38	0.44349	n/a	n/a
79.5166015625	0	stim-thr	10	81425	n/a	n/a	0.4	0.23484	n/a	n/a
83.033203125	0	stim-thr	10	85026	n/a	n/a	0.42	0.59335	n/a	n/a
86.2373046875	0	stim-thr	10	88307	n/a	n/a	0.44	0.63756	n/a	n/a
89.6025390625	0	stim-thr	10	91753	n/a	n/a	0.46	0.84833	n/a	n/a
92.9384765625	0	stim-thr	10	95169	n/a	n/a	0.48	1.0157	n/a	n/a
95.2568359375	0	stim-thr	10	97543	n/a	n/a	0.5	0.17103	n/a	n/a
98.765625	0	stim-thr	10	101136	n/a	n/a	0.52	0.52496	n/a	n/a
103.0078125	0	stim-thr	10	105480	n/a	n/a	0.54	1.602	n/a	n/a
104.611328125	0	stim-thr	10	107122	n/a	n/a	0.56	0.058441	n/a	n/a
109.5576171875	0	stim-thr	10	112187	n/a	n/a	0.58	1.8577	n/a	n/a
112.30078125	0	stim-thr	10	114996	n/a	n/a	0.6	1.4607	n/a	n/a
114.9775390625	0	stim-thr	10	117737	n/a	n/a	0.62	0.97722	n/a	n/a
118.3046875	0	stim-thr	10	121144	n/a	n/a	0.64	1.1571	n/a	n/a
120.7568359375	0	stim-thr	10	123655	n/a	n/a	0.66	0.47457	n/a	n/a
124.3505859375	0	stim-thr	10	127335	n/a	n/a	0.68	0.9177	n/a	n/a
128.5166015625	0	stim-thr	10	131601	n/a	n/a	0.7	1.9262	n/a	n/a
130.8095703125	0	stim-thr	10	133949	n/a	n/a	0.72	1.0936	n/a	n/a
133.916015625	0	stim-thr	10	137130	n/a	n/a	0.74	1.0423	n/a	n/a
136.4775390625	0	stim-thr	10	139753	n/a	n/a	0.76	0.46319	n/a	n/a
140.126953125	0	stim-thr	10	143490	n/a	n/a	0.78	0.9778	n/a	n/a
143.533203125	0	stim-thr	10	146978	n/a	n/a	n/a	n/a	n/a	n/a
