name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch	status
Fp1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
Fpz	EEG	uV	n/a	1024	n/a	n/a	n/a	good
Fp2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F7	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F3	EEG	uV	n/a	1024	n/a	n/a	n/a	good
Fz	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F4	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FC5	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FC1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FC2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FC6	EEG	uV	n/a	1024	n/a	n/a	n/a	good
M1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
T7	EEG	uV	n/a	1024	n/a	n/a	n/a	good
C3	EEG	uV	n/a	1024	n/a	n/a	n/a	good
Cz	EEG	uV	n/a	1024	n/a	n/a	n/a	good
C4	EEG	uV	n/a	1024	n/a	n/a	n/a	good
T8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
M2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
CP5	EEG	uV	n/a	1024	n/a	n/a	n/a	good
CP1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
CP2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
CP6	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P7	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P3	EEG	uV	n/a	1024	n/a	n/a	n/a	good
Pz	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P4	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
POz	EEG	uV	n/a	1024	n/a	n/a	n/a	good
O1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
O2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
EOG	EEG	uV	n/a	1024	n/a	n/a	n/a	good
AF7	EEG	uV	n/a	1024	n/a	n/a	n/a	good
AF3	EEG	uV	n/a	1024	n/a	n/a	n/a	good
AF4	EEG	uV	n/a	1024	n/a	n/a	n/a	good
AF8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F5	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
F6	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FC3	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FCz	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FC4	EEG	uV	n/a	1024	n/a	n/a	n/a	good
C5	EEG	uV	n/a	1024	n/a	n/a	n/a	good
C1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
C2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
C6	EEG	uV	n/a	1024	n/a	n/a	n/a	good
CP3	EEG	uV	n/a	1024	n/a	n/a	n/a	good
CP4	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P5	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P1	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P2	EEG	uV	n/a	1024	n/a	n/a	n/a	good
P6	EEG	uV	n/a	1024	n/a	n/a	n/a	good
PO5	EEG	uV	n/a	1024	n/a	n/a	n/a	good
PO3	EEG	uV	n/a	1024	n/a	n/a	n/a	good
PO4	EEG	uV	n/a	1024	n/a	n/a	n/a	good
PO6	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FT7	EEG	uV	n/a	1024	n/a	n/a	n/a	good
FT8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
TP7	EEG	uV	n/a	1024	n/a	n/a	n/a	good
TP8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
PO7	EEG	uV	n/a	1024	n/a	n/a	n/a	good
PO8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
Oz	EEG	uV	n/a	1024	n/a	n/a	n/a	good
BIP3	AUDIO	n/a	n/a	1024	n/a	n/a	n/a	good
BIP7	HEOG	uV	n/a	1024	n/a	n/a	n/a	good
BIP8	EEG	uV	n/a	1024	n/a	n/a	n/a	good
BIP9	EEG	uV	n/a	1024	n/a	n/a	n/a	good
BIP10	EEG	uV	n/a	1024	n/a	n/a	n/a	good
BIP11	EEG	uV	n/a	1024	n/a	n/a	n/a	good
BIP12	EEG	uV	n/a	1024	n/a	n/a	n/a	good
