onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
44.5166015625	0	stim-thr	10	45585	n/a	n/a	2.5	0.25453	n/a	n/a
47.4404296875	0	stim-thr	10	48579	n/a	n/a	2.48	0.017295	n/a	n/a
52.0458984375	0	stim-thr	10	53295	n/a	n/a	2.46	1.4542	n/a	n/a
54.4482421875	0	stim-thr	10	55755	n/a	n/a	2.44	0.70823	n/a	n/a
58.458984375	0	stim-thr	10	59862	n/a	n/a	2.42	1.5609	n/a	n/a
60.9384765625	0	stim-thr	10	62401	n/a	n/a	2.4	0.87331	n/a	n/a
64.0966796875	0	stim-thr	10	65635	n/a	n/a	2.38	0.87311	n/a	n/a
66.4716796875	0	stim-thr	10	68067	n/a	n/a	2.36	0.098426	n/a	n/a
69.6376953125	0	stim-thr	10	71309	n/a	n/a	2.34	0.099264	n/a	n/a
72.8740234375	0	stim-thr	10	74623	n/a	n/a	2.32	0.1822	n/a	n/a
77.03515625	0	stim-thr	10	78884	n/a	n/a	2.3	1.1881	n/a	n/a
79.4912109375	0	stim-thr	10	81399	n/a	n/a	2.28	0.48217	n/a	n/a
83.865234375	0	stim-thr	10	85878	n/a	n/a	2.26	1.6827	n/a	n/a
87.0615234375	0	stim-thr	10	89151	n/a	n/a	2.24	1.7144	n/a	n/a
90.4345703125	0	stim-thr	10	92605	n/a	n/a	2.22	1.9272	n/a	n/a
92.6328125	0	stim-thr	10	94856	n/a	n/a	2.2	0.9778	n/a	n/a
95.2509765625	0	stim-thr	10	97537	n/a	n/a	2.18	0.44062	n/a	n/a
98.41015625	0	stim-thr	10	100772	n/a	n/a	2.16	0.45242	n/a	n/a
102.1826171875	0	stim-thr	10	104635	n/a	n/a	2.14	1.0736	n/a	n/a
105.7822265625	0	stim-thr	10	108321	n/a	n/a	2.12	1.5242	n/a	n/a
108.1064453125	0	stim-thr	10	110701	n/a	n/a	2.1	0.69513	n/a	n/a
111.4765625	0	stim-thr	10	114152	n/a	n/a	2.08	0.92246	n/a	n/a
114.990234375	0	stim-thr	10	117750	n/a	n/a	2.06	1.2786	n/a	n/a
118.7158203125	0	stim-thr	10	121565	n/a	n/a	2.04	1.8347	n/a	n/a
120.369140625	0	stim-thr	10	123258	n/a	n/a	2.02	0.32315	n/a	n/a
124.6201171875	0	stim-thr	10	127611	n/a	n/a	2	1.4313	n/a	n/a
127.4970703125	0	stim-thr	10	130557	n/a	n/a	1.98	1.1555	n/a	n/a
130.375	0	stim-thr	10	133504	n/a	n/a	1.96	0.8666	n/a	n/a
134.4287109375	0	stim-thr	10	137655	n/a	n/a	1.94	1.7685	n/a	n/a
136.6181640625	0	stim-thr	10	139897	n/a	n/a	1.92	0.7861	n/a	n/a
139.3466796875	0	stim-thr	10	142691	n/a	n/a	1.9	0.35795	n/a	n/a
143.3916015625	0	stim-thr	10	146833	n/a	n/a	1.88	1.2667	n/a	n/a
146.5078125	0	stim-thr	10	150024	n/a	n/a	1.86	1.248	n/a	n/a
149.0615234375	0	stim-thr	10	152639	n/a	n/a	1.84	0.65588	n/a	n/a
153.1865234375	0	stim-thr	10	156863	n/a	n/a	1.82	1.6059	n/a	n/a
156.7421875	0	stim-thr	10	160504	n/a	n/a	1.8	1.999	n/a	n/a
159.8564453125	0	stim-thr	10	163693	n/a	n/a	1.78	1.962	n/a	n/a
161.314453125	0	stim-thr	10	165186	n/a	n/a	1.76	0.25407	n/a	n/a
164.6953125	0	stim-thr	10	168648	n/a	n/a	1.74	0.46448	n/a	n/a
167.4189453125	0	stim-thr	10	171437	n/a	n/a	1.72	0.047265	n/a	n/a
171.7451171875	0	stim-thr	10	175867	n/a	n/a	1.7	1.2149	n/a	n/a
173.912109375	0	stim-thr	10	178086	n/a	n/a	1.68	0.22162	n/a	n/a
177.6552734375	0	stim-thr	10	181919	n/a	n/a	1.66	0.81492	n/a	n/a
181.7646484375	0	stim-thr	10	186127	n/a	n/a	1.64	1.7682	n/a	n/a
184.2607421875	0	stim-thr	10	188683	n/a	n/a	1.62	1.0963	n/a	n/a
187.068359375	0	stim-thr	10	191558	n/a	n/a	1.6	0.73801	n/a	n/a
189.91015625	0	stim-thr	10	194468	n/a	n/a	1.58	0.41669	n/a	n/a
193.5458984375	0	stim-thr	10	198191	n/a	n/a	n/a	n/a	n/a	n/a
