onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
31.7333984375	0	stim-thr	10	32495	n/a	n/a	0.1	1.9124	n/a	n/a
33.2314453125	0	stim-thr	10	34029	n/a	n/a	0.12	0.24805	n/a	n/a
37.0654296875	0	stim-thr	10	37955	n/a	n/a	0.14	0.94153	n/a	n/a
40.99609375	0	stim-thr	10	41980	n/a	n/a	0.16	1.7138	n/a	n/a
42.51171875	0	stim-thr	10	43532	n/a	n/a	0.18	0.086781	n/a	n/a
46.94921875	0	stim-thr	10	48076	n/a	n/a	0.2	1.3833	n/a	n/a
50.666015625	0	stim-thr	10	51882	n/a	n/a	0.22	1.958	n/a	n/a
52.41015625	0	stim-thr	10	53668	n/a	n/a	0.24	0.56654	n/a	n/a
55.2685546875	0	stim-thr	10	56595	n/a	n/a	0.26	0.26756	n/a	n/a
59.5107421875	0	stim-thr	10	60939	n/a	n/a	0.28	1.3706	n/a	n/a
63.11328125	0	stim-thr	10	64628	n/a	n/a	0.3	1.8189	n/a	n/a
65.6904296875	0	stim-thr	10	67267	n/a	n/a	0.32	1.2217	n/a	n/a
69.435546875	0	stim-thr	10	71102	n/a	n/a	0.34	1.8	n/a	n/a
71.1630859375	0	stim-thr	10	72871	n/a	n/a	0.36	0.38687	n/a	n/a
75.4208984375	0	stim-thr	10	77231	n/a	n/a	0.38	1.5088	n/a	n/a
77.7333984375	0	stim-thr	10	79599	n/a	n/a	0.4	0.69252	n/a	n/a
81.0126953125	0	stim-thr	10	82957	n/a	n/a	0.42	0.83725	n/a	n/a
83.6455078125	0	stim-thr	10	85653	n/a	n/a	0.44	0.31144	n/a	n/a
88.1376953125	0	stim-thr	10	90253	n/a	n/a	0.46	1.638	n/a	n/a
90.916015625	0	stim-thr	10	93098	n/a	n/a	0.48	1.2498	n/a	n/a
94.3115234375	0	stim-thr	10	96575	n/a	n/a	0.5	1.4771	n/a	n/a
97.5927734375	0	stim-thr	10	99935	n/a	n/a	0.52	1.6102	n/a	n/a
99.2666015625	0	stim-thr	10	101649	n/a	n/a	0.54	0.13445	n/a	n/a
104.19921875	0	stim-thr	10	106700	n/a	n/a	0.56	1.9016	n/a	n/a
106.462890625	0	stim-thr	10	109018	n/a	n/a	0.58	0.99515	n/a	n/a
110.14453125	0	stim-thr	10	112788	n/a	n/a	0.6	1.5103	n/a	n/a
113.275390625	0	stim-thr	10	115994	n/a	n/a	0.62	1.4848	n/a	n/a
116.5966796875	0	stim-thr	10	119395	n/a	n/a	0.64	1.6623	n/a	n/a
118.41015625	0	stim-thr	10	121252	n/a	n/a	0.66	0.313	n/a	n/a
122.162109375	0	stim-thr	10	125094	n/a	n/a	0.68	0.91462	n/a	n/a
125.646484375	0	stim-thr	10	128662	n/a	n/a	0.7	1.2362	n/a	n/a
129.447265625	0	stim-thr	10	132554	n/a	n/a	0.72	1.8644	n/a	n/a
132.4208984375	0	stim-thr	10	135599	n/a	n/a	0.74	1.6702	n/a	n/a
135.6904296875	0	stim-thr	10	138947	n/a	n/a	0.76	1.7908	n/a	n/a
138.2314453125	0	stim-thr	10	141549	n/a	n/a	0.78	1.165	n/a	n/a
141.3759765625	0	stim-thr	10	144769	n/a	n/a	0.8	1.1655	n/a	n/a
145.0498046875	0	stim-thr	10	148531	n/a	n/a	0.82	1.7099	n/a	n/a
146.54296875	0	stim-thr	10	150060	n/a	n/a	0.84	0.069731	n/a	n/a
151.40234375	0	stim-thr	10	155036	n/a	n/a	0.86	1.7708	n/a	n/a
153.6064453125	0	stim-thr	10	157293	n/a	n/a	0.88	0.81546	n/a	n/a
156.0146484375	0	stim-thr	10	159759	n/a	n/a	0.9	0.072764	n/a	n/a
160.58984375	0	stim-thr	10	164444	n/a	n/a	0.92	1.4923	n/a	n/a
162.57421875	0	stim-thr	10	166476	n/a	n/a	0.94	0.30966	n/a	n/a
165.693359375	0	stim-thr	10	169670	n/a	n/a	0.96	0.28782	n/a	n/a
169.76171875	0	stim-thr	10	173836	n/a	n/a	0.98	1.2119	n/a	n/a
172.2255859375	0	stim-thr	10	176359	n/a	n/a	1	0.50896	n/a	n/a
175.5205078125	0	stim-thr	10	179733	n/a	n/a	1.02	0.64831	n/a	n/a
178.8359375	0	stim-thr	10	183128	n/a	n/a	1.04	0.80358	n/a	n/a
182.005859375	0	stim-thr	10	186374	n/a	n/a	1.06	0.81275	n/a	n/a
185.1328125	0	stim-thr	10	189576	n/a	n/a	1.08	0.77238	n/a	n/a
188.7265625	0	stim-thr	10	193256	n/a	n/a	1.1	1.2196	n/a	n/a
190.97265625	0	stim-thr	10	195556	n/a	n/a	1.12	0.33378	n/a	n/a
194.1708984375	0	stim-thr	10	198831	n/a	n/a	1.14	0.37618	n/a	n/a
197.1376953125	0	stim-thr	10	201869	n/a	n/a	1.16	0.18926	n/a	n/a
200.7548828125	0	stim-thr	10	205573	n/a	n/a	1.18	0.64637	n/a	n/a
204.80078125	0	stim-thr	10	209716	n/a	n/a	1.2	1.5392	n/a	n/a
206.8935546875	0	stim-thr	10	211859	n/a	n/a	1.22	0.46824	n/a	n/a
211.052734375	0	stim-thr	10	216118	n/a	n/a	1.24	1.4807	n/a	n/a
214.1171875	0	stim-thr	10	219256	n/a	n/a	1.26	1.3856	n/a	n/a
217.5283203125	0	stim-thr	10	222749	n/a	n/a	1.28	1.6482	n/a	n/a
220.7021484375	0	stim-thr	10	225999	n/a	n/a	1.3	1.656	n/a	n/a
222.79296875	0	stim-thr	10	228140	n/a	n/a	n/a	n/a	n/a	n/a
