onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
9.115234375	0	stim-thr	10	9334	n/a	n/a	0.1	0.06588	n/a	n/a
12.3046875	0	stim-thr	10	12600	n/a	n/a	0.12	0.10773	n/a	n/a
16.94140625	0	stim-thr	10	17348	n/a	n/a	0.14	1.6101	n/a	n/a
19.3837890625	0	stim-thr	10	19849	n/a	n/a	0.16	0.90275	n/a	n/a
22.404296875	0	stim-thr	10	22942	n/a	n/a	0.18	0.76529	n/a	n/a
26.361328125	0	stim-thr	10	26994	n/a	n/a	0.2	1.5793	n/a	n/a
28.677734375	0	stim-thr	10	29366	n/a	n/a	0.22	0.72857	n/a	n/a
32.1484375	0	stim-thr	10	32920	n/a	n/a	0.24	1.0647	n/a	n/a
35.6376953125	0	stim-thr	10	36493	n/a	n/a	0.26	1.4233	n/a	n/a
39.0927734375	0	stim-thr	10	40031	n/a	n/a	0.28	1.743	n/a	n/a
41.1806640625	0	stim-thr	10	42169	n/a	n/a	0.3	0.65738	n/a	n/a
44.96484375	0	stim-thr	10	46044	n/a	n/a	0.32	1.3002	n/a	n/a
48.767578125	0	stim-thr	10	49938	n/a	n/a	0.34	1.9497	n/a	n/a
50.1171875	0	stim-thr	10	51320	n/a	n/a	0.36	0.15193	n/a	n/a
54.2978515625	0	stim-thr	10	55601	n/a	n/a	0.38	1.174	n/a	n/a
57.0771484375	0	stim-thr	10	58447	n/a	n/a	0.4	0.82777	n/a	n/a
60.0146484375	0	stim-thr	10	61455	n/a	n/a	0.42	0.61827	n/a	n/a
63.0634765625	0	stim-thr	10	64577	n/a	n/a	0.44	0.52767	n/a	n/a
67.1826171875	0	stim-thr	10	68795	n/a	n/a	0.46	1.5175	n/a	n/a
70.787109375	0	stim-thr	10	72486	n/a	n/a	0.48	1.9904	n/a	n/a
72.3037109375	0	stim-thr	10	74039	n/a	n/a	0.5	0.37314	n/a	n/a
76.6259765625	0	stim-thr	10	78465	n/a	n/a	0.52	1.5623	n/a	n/a
78.5888671875	0	stim-thr	10	80475	n/a	n/a	0.54	0.3916	n/a	n/a
83.3251953125	0	stim-thr	10	85325	n/a	n/a	0.56	1.9847	n/a	n/a
86.1015625	0	stim-thr	10	88168	n/a	n/a	0.58	1.6045	n/a	n/a
88.4775390625	0	stim-thr	10	90601	n/a	n/a	0.6	0.84845	n/a	n/a
92.220703125	0	stim-thr	10	94434	n/a	n/a	0.62	1.4577	n/a	n/a
94.91015625	0	stim-thr	10	97188	n/a	n/a	0.64	0.99671	n/a	n/a
98.6640625	0	stim-thr	10	101032	n/a	n/a	0.66	1.618	n/a	n/a
100.892578125	0	stim-thr	10	103314	n/a	n/a	0.68	0.71302	n/a	n/a
103.458984375	0	stim-thr	10	105942	n/a	n/a	n/a	n/a	n/a	n/a
