onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
12.9306640625	0	stim-thr	10	13241	n/a	n/a	0.1	1.179	n/a	n/a
15.3369140625	0	stim-thr	10	15705	n/a	n/a	0.12	0.45238	n/a	n/a
18.7880859375	0	stim-thr	10	19239	n/a	n/a	0.14	0.76924	n/a	n/a
22.31640625	0	stim-thr	10	22852	n/a	n/a	0.16	1.166	n/a	n/a
24.7880859375	0	stim-thr	10	25383	n/a	n/a	0.18	0.50361	n/a	n/a
27.998046875	0	stim-thr	10	28670	n/a	n/a	0.2	0.58088	n/a	n/a
31.8095703125	0	stim-thr	10	32573	n/a	n/a	0.22	1.2342	n/a	n/a
34.2666015625	0	stim-thr	10	35089	n/a	n/a	0.24	0.53056	n/a	n/a
38.5361328125	0	stim-thr	10	39461	n/a	n/a	0.26	1.6488	n/a	n/a
41.9892578125	0	stim-thr	10	42997	n/a	n/a	0.28	1.9653	n/a	n/a
44.6298828125	0	stim-thr	10	45701	n/a	n/a	0.3	1.4605	n/a	n/a
47.0048828125	0	stim-thr	10	48133	n/a	n/a	0.32	0.68775	n/a	n/a
50.6435546875	0	stim-thr	10	51859	n/a	n/a	0.34	1.1681	n/a	n/a
52.8330078125	0	stim-thr	10	54101	n/a	n/a	0.36	0.21554	n/a	n/a
57.5849609375	0	stim-thr	10	58967	n/a	n/a	0.38	1.8126	n/a	n/a
60.6796875	0	stim-thr	10	62136	n/a	n/a	0.4	1.7593	n/a	n/a
63.6875	0	stim-thr	10	65216	n/a	n/a	0.42	1.6355	n/a	n/a
65.7060546875	0	stim-thr	10	67283	n/a	n/a	0.44	0.52146	n/a	n/a
69.548828125	0	stim-thr	10	71218	n/a	n/a	0.46	1.1887	n/a	n/a
71.5458984375	0	stim-thr	10	73263	n/a	n/a	0.48	0.045025	n/a	n/a
75.501953125	0	stim-thr	10	77314	n/a	n/a	0.5	0.85052	n/a	n/a
78.4091796875	0	stim-thr	10	80291	n/a	n/a	0.52	0.62544	n/a	n/a
81.2412109375	0	stim-thr	10	83191	n/a	n/a	0.54	0.32297	n/a	n/a
84.408203125	0	stim-thr	10	86434	n/a	n/a	0.56	0.35753	n/a	n/a
88.0537109375	0	stim-thr	10	90167	n/a	n/a	0.58	0.84577	n/a	n/a
90.5390625	0	stim-thr	10	92712	n/a	n/a	0.6	0.18846	n/a	n/a
94.7060546875	0	stim-thr	10	96979	n/a	n/a	0.62	1.197	n/a	n/a
97.591796875	0	stim-thr	10	99934	n/a	n/a	0.64	0.94185	n/a	n/a
101.2021484375	0	stim-thr	10	103631	n/a	n/a	0.66	1.3919	n/a	n/a
104.3671875	0	stim-thr	10	106872	n/a	n/a	0.68	1.3998	n/a	n/a
107.4013671875	0	stim-thr	10	109979	n/a	n/a	0.7	1.2771	n/a	n/a
109.359375	0	stim-thr	10	111984	n/a	n/a	0.72	0.067208	n/a	n/a
112.5908203125	0	stim-thr	10	115293	n/a	n/a	0.74	0.13761	n/a	n/a
116.259765625	0	stim-thr	10	119050	n/a	n/a	0.76	0.6392	n/a	n/a
119.8310546875	0	stim-thr	10	122707	n/a	n/a	0.78	1.0617	n/a	n/a
123.2255859375	0	stim-thr	10	126183	n/a	n/a	0.8	1.3089	n/a	n/a
125.8916015625	0	stim-thr	10	128913	n/a	n/a	0.82	0.81524	n/a	n/a
129.83984375	0	stim-thr	10	132956	n/a	n/a	0.84	1.64	n/a	n/a
132.787109375	0	stim-thr	10	135974	n/a	n/a	0.86	1.4367	n/a	n/a
136.421875	0	stim-thr	10	139696	n/a	n/a	0.88	1.9373	n/a	n/a
138.6787109375	0	stim-thr	10	142007	n/a	n/a	0.9	1.0627	n/a	n/a
