onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
183.404	0	stim-thr	10	183404	n/a	n/a	2.5	0.88506	n/a	n/a
186.448	0	stim-thr	10	186448	n/a	n/a	2.48	0.78682	n/a	n/a
190.49	0	stim-thr	10	190490	n/a	n/a	2.46	1.6531	n/a	n/a
193.354	0	stim-thr	10	193354	n/a	n/a	2.44	1.3537	n/a	n/a
195.582	0	stim-thr	10	195582	n/a	n/a	2.42	0.41521	n/a	n/a
198.968	0	stim-thr	10	198968	n/a	n/a	2.4	0.63621	n/a	n/a
201.761	0	stim-thr	10	201761	n/a	n/a	2.38	0.26762	n/a	n/a
205.997	0	stim-thr	10	205997	n/a	n/a	2.36	1.3429	n/a	n/a
208.958	0	stim-thr	10	208958	n/a	n/a	2.34	1.142	n/a	n/a
211.318	0	stim-thr	10	211318	n/a	n/a	2.32	0.33953	n/a	n/a
214.427	0	stim-thr	10	214427	n/a	n/a	2.3	0.29531	n/a	n/a
218.254	0	stim-thr	10	218254	n/a	n/a	2.28	0.95216	n/a	n/a
222.286	0	stim-thr	10	222286	n/a	n/a	2.26	1.8162	n/a	n/a
224.74	0	stim-thr	10	224740	n/a	n/a	2.24	1.1044	n/a	n/a
226.843	0	stim-thr	10	226843	n/a	n/a	2.22	0.06588	n/a	n/a
230.061	0	stim-thr	10	230061	n/a	n/a	2.2	0.10773	n/a	n/a
234.712	0	stim-thr	10	234712	n/a	n/a	2.18	1.6101	n/a	n/a
237.149	0	stim-thr	10	237149	n/a	n/a	2.16	0.90275	n/a	n/a
240.165	0	stim-thr	10	240165	n/a	n/a	2.14	0.76529	n/a	n/a
244.147	0	stim-thr	10	244147	n/a	n/a	2.12	1.5793	n/a	n/a
246.439	0	stim-thr	10	246439	n/a	n/a	2.1	0.72857	n/a	n/a
249.915	0	stim-thr	10	249915	n/a	n/a	2.08	1.0647	n/a	n/a
253.422	0	stim-thr	10	253422	n/a	n/a	2.06	1.4233	n/a	n/a
256.912	0	stim-thr	10	256912	n/a	n/a	2.04	1.743	n/a	n/a
258.985	0	stim-thr	10	258985	n/a	n/a	2.02	0.65738	n/a	n/a
262.779	0	stim-thr	10	262779	n/a	n/a	2	1.3002	n/a	n/a
266.578	0	stim-thr	10	266578	n/a	n/a	1.98	1.9497	n/a	n/a
267.931	0	stim-thr	10	267931	n/a	n/a	1.96	0.15193	n/a	n/a
272.12	0	stim-thr	10	272120	n/a	n/a	1.94	1.174	n/a	n/a
274.933	0	stim-thr	10	274933	n/a	n/a	1.92	0.82777	n/a	n/a
277.879	0	stim-thr	10	277879	n/a	n/a	1.9	0.61827	n/a	n/a
280.94	0	stim-thr	10	280940	n/a	n/a	1.88	0.52767	n/a	n/a
285.103	0	stim-thr	10	285103	n/a	n/a	1.86	1.5175	n/a	n/a
288.745	0	stim-thr	10	288745	n/a	n/a	1.84	1.9904	n/a	n/a
290.269	0	stim-thr	10	290269	n/a	n/a	1.82	0.37314	n/a	n/a
294.623	0	stim-thr	10	294623	n/a	n/a	1.8	1.5623	n/a	n/a
296.604	0	stim-thr	10	296604	n/a	n/a	n/a	n/a	n/a	n/a
