onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
13.68359375	0	stim-thr	10	14012	n/a	n/a	2.5	1.561	n/a	n/a
16.62109375	0	stim-thr	10	17020	n/a	n/a	2.48	1.3507	n/a	n/a
18.4345703125	0	stim-thr	10	18877	n/a	n/a	2.46	0.013431	n/a	n/a
22.767578125	0	stim-thr	10	23314	n/a	n/a	2.44	1.2043	n/a	n/a
25.4794921875	0	stim-thr	10	26091	n/a	n/a	2.42	0.77354	n/a	n/a
29.6953125	0	stim-thr	10	30408	n/a	n/a	2.4	1.832	n/a	n/a
31.03125	0	stim-thr	10	31776	n/a	n/a	2.38	0.0023021	n/a	n/a
35.1025390625	0	stim-thr	10	35945	n/a	n/a	2.36	0.9249	n/a	n/a
38.1953125	0	stim-thr	10	39112	n/a	n/a	2.34	0.8487	n/a	n/a
41.41796875	0	stim-thr	10	42412	n/a	n/a	2.32	0.92183	n/a	n/a
45.1943359375	0	stim-thr	10	46279	n/a	n/a	2.3	1.5403	n/a	n/a
47.4580078125	0	stim-thr	10	48597	n/a	n/a	2.28	0.64494	n/a	n/a
51.548828125	0	stim-thr	10	52786	n/a	n/a	2.26	1.5695	n/a	n/a
54.0810546875	0	stim-thr	10	55379	n/a	n/a	2.24	0.94271	n/a	n/a
56.3603515625	0	stim-thr	10	57713	n/a	n/a	2.22	0.071525	n/a	n/a
59.7890625	0	stim-thr	10	61224	n/a	n/a	2.2	0.35175	n/a	n/a
64.048828125	0	stim-thr	10	65586	n/a	n/a	2.18	1.4435	n/a	n/a
66.7001953125	0	stim-thr	10	68301	n/a	n/a	2.16	0.94697	n/a	n/a
69.2109375	0	stim-thr	10	70872	n/a	n/a	2.14	0.30544	n/a	n/a
72.7548828125	0	stim-thr	10	74501	n/a	n/a	2.12	0.68225	n/a	n/a
76.4345703125	0	stim-thr	10	78269	n/a	n/a	2.1	1.2148	n/a	n/a
78.7568359375	0	stim-thr	10	80647	n/a	n/a	2.08	0.38349	n/a	n/a
83	0	stim-thr	10	84992	n/a	n/a	2.06	1.4769	n/a	n/a
85.1796875	0	stim-thr	10	87224	n/a	n/a	2.04	0.4857	n/a	n/a
89.6943359375	0	stim-thr	10	91847	n/a	n/a	2.02	1.8348	n/a	n/a
91.55859375	0	stim-thr	10	93756	n/a	n/a	2	0.53812	n/a	n/a
95.7265625	0	stim-thr	10	98024	n/a	n/a	1.98	1.531	n/a	n/a
97.7392578125	0	stim-thr	10	100085	n/a	n/a	1.96	0.37732	n/a	n/a
101.1005859375	0	stim-thr	10	103527	n/a	n/a	1.94	0.575	n/a	n/a
103.8779296875	0	stim-thr	10	106371	n/a	n/a	1.92	0.18223	n/a	n/a
108.005859375	0	stim-thr	10	110598	n/a	n/a	1.9	1.1524	n/a	n/a
111.3525390625	0	stim-thr	10	114025	n/a	n/a	1.88	1.3667	n/a	n/a
