onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
9.5185546875	0	stim-thr	10	9747	n/a	n/a	0.1	1.2558	n/a	n/a
12.97265625	0	stim-thr	10	13284	n/a	n/a	0.12	1.544	n/a	n/a
16.4375	0	stim-thr	10	16832	n/a	n/a	0.14	1.8657	n/a	n/a
19.6650390625	0	stim-thr	10	20137	n/a	n/a	0.16	1.9455	n/a	n/a
21.23828125	0	stim-thr	10	21748	n/a	n/a	0.18	0.38406	n/a	n/a
24.283203125	0	stim-thr	10	24866	n/a	n/a	0.2	0.27775	n/a	n/a
28.5712890625	0	stim-thr	10	29257	n/a	n/a	0.22	1.3925	n/a	n/a
30.5263671875	0	stim-thr	10	31259	n/a	n/a	0.24	0.18764	n/a	n/a
34.5380859375	0	stim-thr	10	35367	n/a	n/a	0.26	1.0508	n/a	n/a
37.697265625	0	stim-thr	10	38602	n/a	n/a	0.28	1.0607	n/a	n/a
41.5107421875	0	stim-thr	10	42507	n/a	n/a	0.3	1.7223	n/a	n/a
43.9150390625	0	stim-thr	10	44969	n/a	n/a	0.32	0.96971	n/a	n/a
46.890625	0	stim-thr	10	48016	n/a	n/a	0.34	0.78691	n/a	n/a
50.587890625	0	stim-thr	10	51802	n/a	n/a	0.36	1.3429	n/a	n/a
53.892578125	0	stim-thr	10	55186	n/a	n/a	0.38	1.4825	n/a	n/a
56.59375	0	stim-thr	10	57952	n/a	n/a	0.4	1.0401	n/a	n/a
59.3974609375	0	stim-thr	10	60823	n/a	n/a	0.42	0.69543	n/a	n/a
62.1357421875	0	stim-thr	10	63627	n/a	n/a	0.44	0.29999	n/a	n/a
66.14453125	0	stim-thr	10	67732	n/a	n/a	0.46	1.1722	n/a	n/a
68.6435546875	0	stim-thr	10	70291	n/a	n/a	0.48	0.52429	n/a	n/a
71.3779296875	0	stim-thr	10	73091	n/a	n/a	0.5	0.088908	n/a	n/a
75.9462890625	0	stim-thr	10	77769	n/a	n/a	0.52	1.5099	n/a	n/a
78.0732421875	0	stim-thr	10	79947	n/a	n/a	0.54	0.48557	n/a	n/a
81.61328125	0	stim-thr	10	83572	n/a	n/a	0.56	0.8848	n/a	n/a
85.2451171875	0	stim-thr	10	87291	n/a	n/a	0.58	1.3756	n/a	n/a
87.7216796875	0	stim-thr	10	89827	n/a	n/a	0.6	0.71846	n/a	n/a
91.6318359375	0	stim-thr	10	93831	n/a	n/a	0.62	1.4727	n/a	n/a
94.091796875	0	stim-thr	10	96350	n/a	n/a	0.64	0.78941	n/a	n/a
97.8017578125	0	stim-thr	10	100149	n/a	n/a	0.66	1.3668	n/a	n/a
100.9775390625	0	stim-thr	10	103401	n/a	n/a	0.68	1.4081	n/a	n/a
103.587890625	0	stim-thr	10	106074	n/a	n/a	0.7	0.88461	n/a	n/a
105.890625	0	stim-thr	10	108432	n/a	n/a	0.72	0.039155	n/a	n/a
109.6669921875	0	stim-thr	10	112299	n/a	n/a	n/a	n/a	n/a	n/a
