onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
22.6083984375	0	stim-thr	10	23151	n/a	n/a	2.5	0.56201	n/a	n/a
26.076171875	0	stim-thr	10	26702	n/a	n/a	2.48	0.88017	n/a	n/a
29.392578125	0	stim-thr	10	30098	n/a	n/a	2.46	1.0543	n/a	n/a
32.3896484375	0	stim-thr	10	33167	n/a	n/a	2.44	0.91485	n/a	n/a
36.376953125	0	stim-thr	10	37250	n/a	n/a	2.42	1.7507	n/a	n/a
38.8134765625	0	stim-thr	10	39745	n/a	n/a	2.4	1.0361	n/a	n/a
42.8154296875	0	stim-thr	10	43843	n/a	n/a	2.38	1.8872	n/a	n/a
45.3701171875	0	stim-thr	10	46459	n/a	n/a	2.36	1.2754	n/a	n/a
49.134765625	0	stim-thr	10	50314	n/a	n/a	2.34	1.9154	n/a	n/a
50.833984375	0	stim-thr	10	52054	n/a	n/a	2.32	0.48141	n/a	n/a
54.8388671875	0	stim-thr	10	56155	n/a	n/a	2.3	1.3522	n/a	n/a
57.197265625	0	stim-thr	10	58570	n/a	n/a	2.28	0.57813	n/a	n/a
61.095703125	0	stim-thr	10	62562	n/a	n/a	2.26	1.3436	n/a	n/a
64.29296875	0	stim-thr	10	65836	n/a	n/a	2.24	1.3903	n/a	n/a
66.1884765625	0	stim-thr	10	67777	n/a	n/a	2.22	0.13599	n/a	n/a
69.7138671875	0	stim-thr	10	71387	n/a	n/a	2.2	0.50958	n/a	n/a
72.8017578125	0	stim-thr	10	74549	n/a	n/a	2.18	0.44808	n/a	n/a
76.8388671875	0	stim-thr	10	78683	n/a	n/a	2.16	1.3357	n/a	n/a
80.333984375	0	stim-thr	10	82262	n/a	n/a	2.14	1.6888	n/a	n/a
82.4951171875	0	stim-thr	10	84475	n/a	n/a	2.12	0.68892	n/a	n/a
86.5146484375	0	stim-thr	10	88591	n/a	n/a	2.1	1.561	n/a	n/a
89.4560546875	0	stim-thr	10	91603	n/a	n/a	2.08	1.3507	n/a	n/a
91.248046875	0	stim-thr	10	93438	n/a	n/a	2.06	0.013431	n/a	n/a
95.591796875	0	stim-thr	10	97886	n/a	n/a	2.04	1.2043	n/a	n/a
98.310546875	0	stim-thr	10	100670	n/a	n/a	2.02	0.77354	n/a	n/a
102.5009765625	0	stim-thr	10	104961	n/a	n/a	2	1.832	n/a	n/a
103.8046875	0	stim-thr	10	106296	n/a	n/a	1.98	0.0023021	n/a	n/a
107.8603515625	0	stim-thr	10	110449	n/a	n/a	1.96	0.9249	n/a	n/a
110.9169921875	0	stim-thr	10	113579	n/a	n/a	1.94	0.8487	n/a	n/a
114.1240234375	0	stim-thr	10	116863	n/a	n/a	1.92	0.92183	n/a	n/a
117.892578125	0	stim-thr	10	120722	n/a	n/a	1.9	1.5403	n/a	n/a
120.1650390625	0	stim-thr	10	123049	n/a	n/a	1.88	0.64494	n/a	n/a
124.2216796875	0	stim-thr	10	127203	n/a	n/a	1.86	1.5695	n/a	n/a
126.7275390625	0	stim-thr	10	129769	n/a	n/a	1.84	0.94271	n/a	n/a
129.009765625	0	stim-thr	10	132106	n/a	n/a	1.82	0.071525	n/a	n/a
132.4560546875	0	stim-thr	10	135635	n/a	n/a	1.8	0.35175	n/a	n/a
136.7001953125	0	stim-thr	10	139981	n/a	n/a	1.78	1.4435	n/a	n/a
139.3486328125	0	stim-thr	10	142693	n/a	n/a	1.76	0.94697	n/a	n/a
141.83984375	0	stim-thr	10	145244	n/a	n/a	1.74	0.30544	n/a	n/a
145.3837890625	0	stim-thr	10	148873	n/a	n/a	1.72	0.68225	n/a	n/a
149.0498046875	0	stim-thr	10	152627	n/a	n/a	1.7	1.2148	n/a	n/a
151.3681640625	0	stim-thr	10	155001	n/a	n/a	1.68	0.38349	n/a	n/a
155.611328125	0	stim-thr	10	159346	n/a	n/a	1.66	1.4769	n/a	n/a
157.7548828125	0	stim-thr	10	161541	n/a	n/a	1.64	0.4857	n/a	n/a
162.2431640625	0	stim-thr	10	166137	n/a	n/a	1.62	1.8348	n/a	n/a
164.11328125	0	stim-thr	10	168052	n/a	n/a	1.6	0.53812	n/a	n/a
168.240234375	0	stim-thr	10	172278	n/a	n/a	1.58	1.531	n/a	n/a
170.2294921875	0	stim-thr	10	174315	n/a	n/a	1.56	0.37732	n/a	n/a
173.576171875	0	stim-thr	10	177742	n/a	n/a	1.54	0.575	n/a	n/a
176.31640625	0	stim-thr	10	180548	n/a	n/a	1.52	0.18223	n/a	n/a
180.4365234375	0	stim-thr	10	184767	n/a	n/a	1.5	1.1524	n/a	n/a
183.8046875	0	stim-thr	10	188216	n/a	n/a	1.48	1.3667	n/a	n/a
186.6611328125	0	stim-thr	10	191141	n/a	n/a	1.46	1.0932	n/a	n/a
189.5732421875	0	stim-thr	10	194123	n/a	n/a	1.44	0.85146	n/a	n/a
193.1630859375	0	stim-thr	10	197799	n/a	n/a	1.42	1.2889	n/a	n/a
196.3369140625	0	stim-thr	10	201049	n/a	n/a	1.4	1.2952	n/a	n/a
199.5595703125	0	stim-thr	10	204349	n/a	n/a	1.38	1.358	n/a	n/a
202.6318359375	0	stim-thr	10	207495	n/a	n/a	1.36	1.2716	n/a	n/a
206.4169921875	0	stim-thr	10	211371	n/a	n/a	1.34	1.8903	n/a	n/a
208.1025390625	0	stim-thr	10	213097	n/a	n/a	1.32	0.41787	n/a	n/a
212.244140625	0	stim-thr	10	217338	n/a	n/a	1.3	1.4186	n/a	n/a
214.4580078125	0	stim-thr	10	219605	n/a	n/a	1.28	0.47246	n/a	n/a
217.390625	0	stim-thr	10	222608	n/a	n/a	1.26	0.23879	n/a	n/a
221.4990234375	0	stim-thr	10	226815	n/a	n/a	1.24	1.2146	n/a	n/a
224.34375	0	stim-thr	10	229728	n/a	n/a	1.22	0.90028	n/a	n/a
227.5009765625	0	stim-thr	10	232961	n/a	n/a	1.2	0.91745	n/a	n/a
231.06640625	0	stim-thr	10	236612	n/a	n/a	1.18	1.3239	n/a	n/a
234.44921875	0	stim-thr	10	240076	n/a	n/a	1.16	1.5406	n/a	n/a
236.767578125	0	stim-thr	10	242450	n/a	n/a	1.14	0.70044	n/a	n/a
240.548828125	0	stim-thr	10	246322	n/a	n/a	1.12	1.324	n/a	n/a
243.1826171875	0	stim-thr	10	249019	n/a	n/a	1.1	0.83232	n/a	n/a
247.1923828125	0	stim-thr	10	253125	n/a	n/a	1.08	1.6839	n/a	n/a
250.31640625	0	stim-thr	10	256324	n/a	n/a	1.06	1.6658	n/a	n/a
252.3310546875	0	stim-thr	10	258387	n/a	n/a	1.04	0.51288	n/a	n/a
256.2021484375	0	stim-thr	10	262351	n/a	n/a	1.02	1.2269	n/a	n/a
259.298828125	0	stim-thr	10	265522	n/a	n/a	1	1.1645	n/a	n/a
262.3505859375	0	stim-thr	10	268647	n/a	n/a	0.98	1.0815	n/a	n/a
266.181640625	0	stim-thr	10	272570	n/a	n/a	0.96	1.7399	n/a	n/a
268.1318359375	0	stim-thr	10	274567	n/a	n/a	0.94	0.52956	n/a	n/a
271.3681640625	0	stim-thr	10	277881	n/a	n/a	0.92	0.63615	n/a	n/a
274.12109375	0	stim-thr	10	280700	n/a	n/a	0.9	0.23843	n/a	n/a
278.9052734375	0	stim-thr	10	285599	n/a	n/a	0.88	1.8797	n/a	n/a
281.466796875	0	stim-thr	10	288222	n/a	n/a	0.86	1.2911	n/a	n/a
284.267578125	0	stim-thr	10	291090	n/a	n/a	0.84	0.95893	n/a	n/a
287.75390625	0	stim-thr	10	294660	n/a	n/a	0.82	1.2786	n/a	n/a
290.73046875	0	stim-thr	10	297708	n/a	n/a	0.8	1.0894	n/a	n/a
294.0771484375	0	stim-thr	10	301135	n/a	n/a	0.78	1.2946	n/a	n/a
297.0048828125	0	stim-thr	10	304133	n/a	n/a	0.76	1.0878	n/a	n/a
300.4912109375	0	stim-thr	10	307703	n/a	n/a	0.74	1.4421	n/a	n/a
303.236328125	0	stim-thr	10	310514	n/a	n/a	0.72	1.045	n/a	n/a
