name	x	y	z	hemisphere	size	type	manufacturer	anatomicalLocation
G1	-47.211000	-56.105000	37.789500	L	NaN	grid	n/a	n/a
G2	-45.647000	-46.824000	42.352900	L	NaN	grid	n/a	n/a
G3	-44.091000	-37.818000	46.000000	L	NaN	grid	n/a	n/a
G4	-42.167000	-27.917000	48.000000	L	NaN	grid	n/a	n/a
G5	-40.000000	-18.417000	49.333300	L	NaN	grid	n/a	n/a
G6	-37.933000	-9.000000	52.666700	L	NaN	grid	n/a	n/a
G7	-38.214000	-59.214000	40.785700	L	NaN	grid	n/a	n/a
G8	-36.700000	-50.200000	44.800000	L	NaN	grid	n/a	n/a
G9	-34.550000	-40.750000	48.450000	L	NaN	grid	n/a	n/a
G10	-32.643000	-31.071000	50.357100	L	NaN	grid	n/a	n/a
G11	-30.300000	-21.300000	51.700000	L	NaN	grid	n/a	n/a
G12	-28.636000	-12.091000	55.000000	L	NaN	grid	n/a	n/a
G13	-27.824000	-61.471000	43.470600	L	NaN	grid	n/a	n/a
G14	-27.083000	-52.583000	47.666700	L	NaN	grid	n/a	n/a
G15	-25.300000	-43.300000	51.300000	L	NaN	grid	n/a	n/a
G16	-23.500000	-33.778000	53.000000	L	NaN	grid	n/a	n/a
G17	-20.667000	-24.056000	54.722200	L	NaN	grid	n/a	n/a
G18	-18.647000	-14.471000	57.294100	L	NaN	grid	n/a	n/a
G19	-18.941000	-64.471000	45.470600	L	NaN	grid	n/a	n/a
G20	-17.556000	-55.667000	50.000000	L	NaN	grid	n/a	n/a
G21	-15.813000	-46.250000	53.687500	L	NaN	grid	n/a	n/a
G22	-13.909000	-36.636000	56.000000	L	NaN	grid	n/a	n/a
G23	-11.679000	-27.321000	59.214300	L	NaN	grid	n/a	n/a
G24	-10.409000	-17.591000	62.136400	L	NaN	grid	n/a	n/a
IA4	0.885000	-35.231000	48.692300	L	NaN	strip	n/a	n/a
IA3	2.500000	-27.083000	42.875000	L	NaN	strip	n/a	n/a
IA2	2.655000	-19.621000	36.586200	L	NaN	strip	n/a	n/a
IA1	2.292000	-12.000000	30.333300	L	NaN	strip	n/a	n/a
IP4	1.621000	-53.379000	32.448300	L	NaN	strip	n/a	n/a
IP3	3.067000	-46.333000	25.500000	L	NaN	strip	n/a	n/a
IP2	3.500000	-39.538000	18.385000	L	NaN	strip	n/a	n/a
IP1	3.100000	-32.667000	11.000000	L	NaN	strip	n/a	n/a
Utah1	-31.750000	-46.125000	46.625000	L	NaN	strip	n/a	n/a
