onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
21.1865234375	0	stim-thr	10	21695	n/a	n/a	2.5	1.2955	n/a	n/a
23.9560546875	0	stim-thr	10	24531	n/a	n/a	2.48	0.90185	n/a	n/a
27.3115234375	0	stim-thr	10	27967	n/a	n/a	2.46	1.094	n/a	n/a
29.94140625	0	stim-thr	10	30660	n/a	n/a	2.44	0.59264	n/a	n/a
33.9873046875	0	stim-thr	10	34803	n/a	n/a	2.42	1.4894	n/a	n/a
36.048828125	0	stim-thr	10	36914	n/a	n/a	2.4	0.37791	n/a	n/a
40.189453125	0	stim-thr	10	41154	n/a	n/a	2.38	1.3736	n/a	n/a
42.3310546875	0	stim-thr	10	43347	n/a	n/a	2.36	0.36702	n/a	n/a
45.8779296875	0	stim-thr	10	46979	n/a	n/a	2.34	0.73697	n/a	n/a
49.5537109375	0	stim-thr	10	50743	n/a	n/a	2.32	1.2512	n/a	n/a
53.03125	0	stim-thr	10	54304	n/a	n/a	2.3	1.5605	n/a	n/a
54.794921875	0	stim-thr	10	56110	n/a	n/a	2.28	0.16225	n/a	n/a
59.62109375	0	stim-thr	10	61052	n/a	n/a	2.26	1.8588	n/a	n/a
62.4580078125	0	stim-thr	10	63957	n/a	n/a	2.24	1.5514	n/a	n/a
65.04296875	0	stim-thr	10	66604	n/a	n/a	2.22	0.97358	n/a	n/a
68.1103515625	0	stim-thr	10	69745	n/a	n/a	2.2	0.87172	n/a	n/a
71.2978515625	0	stim-thr	10	73009	n/a	n/a	2.18	0.89357	n/a	n/a
74.158203125	0	stim-thr	10	75938	n/a	n/a	2.16	0.6127	n/a	n/a
77.6982421875	0	stim-thr	10	79563	n/a	n/a	2.14	1.017	n/a	n/a
80.8759765625	0	stim-thr	10	82817	n/a	n/a	2.12	1.0215	n/a	n/a
84.6396484375	0	stim-thr	10	86671	n/a	n/a	2.1	1.6353	n/a	n/a
87.7548828125	0	stim-thr	10	89861	n/a	n/a	2.08	1.5897	n/a	n/a
90.6103515625	0	stim-thr	10	92785	n/a	n/a	2.06	1.2886	n/a	n/a
93.228515625	0	stim-thr	10	95466	n/a	n/a	2.04	0.75722	n/a	n/a
97.259765625	0	stim-thr	10	99594	n/a	n/a	2.02	1.6232	n/a	n/a
99.8447265625	0	stim-thr	10	102241	n/a	n/a	2	1.0657	n/a	n/a
102.6396484375	0	stim-thr	10	105103	n/a	n/a	1.98	0.70145	n/a	n/a
106.958984375	0	stim-thr	10	109526	n/a	n/a	1.96	1.878	n/a	n/a
109.9833984375	0	stim-thr	10	112623	n/a	n/a	1.94	1.7519	n/a	n/a
112.4873046875	0	stim-thr	10	115187	n/a	n/a	1.92	1.1003	n/a	n/a
115.7978515625	0	stim-thr	10	118577	n/a	n/a	1.9	1.245	n/a	n/a
118.8916015625	0	stim-thr	10	121745	n/a	n/a	1.88	1.1741	n/a	n/a
121.2978515625	0	stim-thr	10	124209	n/a	n/a	1.86	0.41548	n/a	n/a
124.6474609375	0	stim-thr	10	127639	n/a	n/a	1.84	0.60249	n/a	n/a
128.14453125	0	stim-thr	10	131220	n/a	n/a	1.82	0.94185	n/a	n/a
130.822265625	0	stim-thr	10	133962	n/a	n/a	1.8	0.46098	n/a	n/a
135.1845703125	0	stim-thr	10	138429	n/a	n/a	1.78	1.6886	n/a	n/a
137.0341796875	0	stim-thr	10	140323	n/a	n/a	1.76	0.38953	n/a	n/a
140.2490234375	0	stim-thr	10	143615	n/a	n/a	1.74	0.45184	n/a	n/a
143.3076171875	0	stim-thr	10	146747	n/a	n/a	1.72	0.34142	n/a	n/a
146.5673828125	0	stim-thr	10	150085	n/a	n/a	1.7	0.45533	n/a	n/a
